CarparkValue,latitude,longitude,Carpark_Number,dist
1548,1.3144503701412036,103.85684097167238,BKE4,10.370695553083447
1074,1.4447277856227,103.79980332120414,W69,23.844793513273263
1329,1.392370666728483,103.90940612733498,PL12,12.291887129905694
849,1.3935886554890804,103.91038940445064,PL13,12.383943911668245
81,1.392199195734594,103.88511138181325,SK46,13.421374242660342
219,1.3903581193809895,103.8851823239218,SK47,13.241245914917707
326,1.3484178517821193,103.72521288102048,JSA1,25.484200451968626
1235,1.3279067611579445,103.7233238770191,TJ39,25.18871650174456
371,1.3532478142057665,103.95634938237887,TM6,7.319406391218301
1108,1.3528089666562568,103.95762516100385,TM7,7.2942470915818145
767,1.305807720561871,103.7855911365702,AR7L,17.981453107406953
1765,1.3749824413018583,103.74453422557612,CK75,24.42749945375092
1743,1.374040451680714,103.74620673798076,CK76,24.215265100572914
515,1.4445112227925534,103.79680914025208,W70,24.056118056824825
545,1.4432155979701582,103.79635353028392,W74,23.987374495800044
1100,1.3920194608918222,103.74403589785445,CK65,25.285582736973684
1315,1.446480287012054,103.82205727914038,SB1,22.380394956464695
235,1.44534120088779,103.8225551339067,SB6,22.246578591507536
641,1.2717912859952192,103.81066870217572,TBM,15.196177522942369
1610,1.323211123984771,103.93494255225318,B81,4.09399958945824
1435,1.3216973941844925,103.93393509513557,B92,3.971713651778575
290,1.4208182004203656,103.83617566424094,Y34,19.173057502720656
640,1.4192692693735585,103.83606560585034,Y34A,19.048711584698136
400,1.332015772086148,103.90639475945368,B67,6.59274430847152
951,1.3594142202064825,103.948213461328,T74,7.922796459916584
1476,1.3533536463794174,103.96025509665785,TM10,7.409480201703925
1372,1.3533454115738093,103.9590930658871,TM9,7.3826618920632
1703,1.3578438574793206,103.87308906272592,SE12,11.239465850525217
1836,1.376933257277024,103.73814649010504,CK70,25.165875541282023
906,1.3766878029172829,103.73868084627472,CK71,25.10050948704796
1294,1.3765572316417811,103.7467136802488,CK77,24.27542490308381
1489,1.3966809496482977,103.90197084903332,SK34,13.034683324116786
1373,1.3951935711256322,103.89984356864667,SK35,12.974126021803345
164,1.3281779629096138,103.94104648719065,B21,4.484314762046124
1509,1.434144583108924,103.7915192513934,W517,23.66095495648699
202,1.356363667330087,103.93607194832354,TM33,7.666096125690012
1881,1.3572198097447834,103.9334329020754,TM34,7.808819036878863
1819,1.330959178889198,103.93726546144408,B89,4.860694684870468
582,1.307637807934568,103.80056110547294,Q94,16.353316653591776
294,1.4350380305719783,103.77475028200838,W20,25.114828509707806
1657,1.4148476967331531,103.83671818270024,Y40,18.62746260556302
1763,1.3779874731949442,103.842602544842,A100,15.25673114655154
901,1.378848189137787,103.84082469669583,A73,15.468963307402262
456,1.378651680283736,103.84380466372642,A74,15.204698181151414
383,1.3067047897222317,103.7994973472629,Q66,16.457286689488022
1031,1.3599148478753331,103.93413927453078,TM35,8.090139926298258
1820,1.3425435059718924,103.71374987824365,BL22,26.559966171641037
1804,1.341599934271884,103.70808085404174,JM32,27.151063014312065
1878,1.3987172907709329,103.9163888739782,PL17,12.734703059421317
982,1.3995558665879668,103.91519589302489,PL20,12.85983591265585
700,1.3977398982918745,103.91591124799312,PL22,12.643907712504705
814,1.397283842157002,103.91530323143324,PL26,12.613364290872436
180,1.315506440163754,103.86095873270096,BLM,9.967290395746302
844,1.3777026962814996,103.88637393238048,HG71,11.980835045471554
663,1.354661486030471,103.96218106175438,TM23,7.598600855947045
1222,1.3554179483948303,103.9614423609394,TM24,7.6620400850916335
780,1.4315825936751374,103.7753038278818,W108,24.819422859811546
877,1.343935540315558,103.70496360394888,JM2,27.546692214876742
766,1.3445890471540445,103.70606683648678,JM3,27.443687332188222
1652,1.3444418938574294,103.70391272028826,JM4,27.67323938535105
1713,1.3417967899715009,103.70414895637823,JM11,27.582593689835846
1683,1.345572547207185,103.70313374298328,JM26,27.7862297566419
1585,1.3463047673601238,103.7045844632928,JM27,27.648162218010974
411,1.343279631629848,103.70492744066352,JSR2,27.53429191330458
1457,1.3871444368595176,103.90776944192206,SK55,11.810431090236762
596,1.3126416639781904,103.87262135331004,UBM1,8.635452691615685
1401,1.322703300743554,103.86573351416854,KB18,9.74930074869441
189,1.3237494773420038,103.86644259415267,KB20,9.723584561498278
338,1.4313637939913746,103.79669175117752,W578,23.030912887922586
768,1.4310428462888094,103.79553446041857,W579,23.099494888422562
977,1.427502625106847,103.84262983673791,Y45M,19.31384584097619
1545,1.3741610365120855,103.8834179399384,HG42,11.846694024014882
1139,1.3325052469829437,103.91041427397192,KE2,6.342517074715505
